first_name,last_name,title,from_date,emp_no
Jaihie,Kisuki,Staff,1996-07-31,33907
Niteen,Binkley,Senior Staff,1994-11-07,33913
Chinhyun,Argence,Senior Staff,1996-12-16,33923
Bezalel,Haumacher,Senior Engineer,1993-11-14,33927
Kendra,Merey,Engineer,1986-04-22,33966
Arie,Sadowsky,Senior Staff,1998-01-05,33969
Yagil,Trumbly,Engineer,1997-12-28,33973
Tesuya,Denis,Senior Engineer,1995-03-11,33983
Val,Showalter,Staff,1991-07-17,33990
Zeydy,Makrucki,Senior Staff,2000-02-23,33991
Subbu,Olivero,Senior Staff,1995-11-23,33996
Apostol,Polupanov,Senior Engineer,1990-02-06,33998
Perry,Cairo,Senior Engineer,1987-12-11,34006
Gad,Dolinsky,Engineer,1995-02-10,34013
Shridhar,Bridgland,Senior Staff,1997-08-07,34025
Heejo,Kieras,Senior Engineer,1985-03-03,34028
Nobuyoshi,Rodiger,Staff,1998-09-25,34030
Weiwu,Gopalakrishnan,Engineer,1998-07-30,34032
Tadanori,Brookner,Senior Staff,1994-09-21,34049
Youjian,Angot,Senior Staff,1996-10-18,34050
Jordanka,Motley,Senior Engineer,1985-05-01,34051
Bojan,Decaestecker,Senior Staff,2001-07-06,34052
Sivanarayana,Champarnaud,Senior Engineer,1999-12-20,34070
Chaosheng,Peternell,Senior Staff,1999-12-20,34075
Yechiam,Jakobus,Engineer,1998-06-20,34082
Zejun,Ramaiah,Senior Engineer,1993-05-22,34107
Chaosheng,Matzke,Engineer,1999-10-13,34110
Nirmal,Kinley,Senior Engineer,2000-02-19,34112
Cordelia,Falco,Staff,1990-09-08,34121
DeForest,Rossi,Senior Engineer,1996-04-28,34122
Takanari,Kolinko,Senior Engineer,2001-02-16,34129
Mahendra,Perry,Engineer,1996-03-05,34130
Gay,Beilner,Senior Engineer,1990-09-02,34143
Fun,Matteis,Staff,1989-12-28,34146
Leen,Miculan,Senior Staff,1997-06-25,34150
Guttorm,Reinhard,Staff,1999-11-12,34151
Mohammed,Syrotiuk,Senior Staff,1998-03-29,34158
Naftali,Rahimi,Senior Engineer,1985-02-27,34166
Waiman,Plessier,Senior Engineer,1995-08-02,34176
Ger,McClure,Senior Engineer,1991-08-28,34180
Shiv,Klassen,Senior Engineer,2000-01-17,34184
Rafail,Stroustrup,Senior Engineer,1986-01-10,34202
Pragnesh,Tramer,Senior Staff,1985-09-07,34203
Pohua,Bernardeschi,Senior Engineer,1994-11-21,34207
Rosine,Tsunoo,Senior Engineer,1991-12-08,34208
Adly,Salverda,Engineer,1985-05-18,34212
Otilia,Pietrzykowski,Senior Staff,1993-02-14,34215
Sachar,Emiris,Senior Engineer,2001-11-18,34231
Remco,Ariola,Senior Staff,1996-09-27,34241
Moon,Marletta,Senior Engineer,1993-12-03,34254
Xiaoqiang,Roisin,Senior Engineer,2000-10-10,34257
Anestis,Talmor,Senior Staff,1992-09-19,34258
Soenke,Kitai,Engineer,2000-01-28,34268
Vatsa,Weedman,Technique Leader,1993-06-12,34277
Arvind,Gulik,Senior Staff,2001-07-21,34304
Goo,Bernatsky,Senior Engineer,1995-02-24,34329
Jaihie,Luef,Senior Staff,1998-09-12,34333
Stafford,Veevers,Senior Engineer,1986-08-29,34334
Honesty,Schurmann,Senior Engineer,2001-07-07,34336
Hairong,Emden,Senior Engineer,1996-11-16,34338
Along,Klassen,Assistant Engineer,1988-08-02,34348
Kristen,Acton,Senior Staff,1990-03-08,34354
Jaihie,Dulin,Engineer,1998-01-09,34358
Seshu,Kugler,Senior Engineer,1994-06-12,34364
Wonhee,Ranon,Senior Staff,1993-05-29,34368
Hidde,Menhoudj,Senior Engineer,1999-09-28,34377
Kayoko,Ravishankar,Senior Staff,2001-02-06,34382
Maja,Walston,Engineer,1999-06-02,34385
Kristina,Pena,Senior Engineer,1986-03-07,34388
Abdelwaheb,Marrakchi,Staff,1989-06-22,34391
Uno,Lanteri,Senior Engineer,1996-09-21,34401
Yefim,Mitsuhashi,Senior Staff,1997-11-26,34406
Ghassan,Murtha,Staff,1988-11-22,34416
Gio,Flexer,Staff,1998-11-25,34417
Taizo,Peha,Senior Staff,1993-05-20,34449
Jouko,Lortz,Senior Staff,1994-05-19,34482
Yaghout,Krychniak,Senior Staff,1996-10-26,34489
Sudhanshu,Bugrara,Senior Engineer,1990-07-08,34491
Eishiro,Etalle,Staff,1987-09-29,34507
Sibyl,Rijckaert,Senior Engineer,1990-12-03,34522
Danil,Narahari,Senior Engineer,1987-06-07,34536
Pranjal,Rossi,Senior Engineer,1993-02-23,34538
Szabolcs,Borstler,Senior Staff,1993-11-03,34550
Souichi,Llado,Senior Staff,1995-04-04,34552
Jessie,Kitsuregawa,Senior Staff,1987-04-04,34563
Shao,Suomi,Technique Leader,1988-09-15,34564
Jahangir,Baaz,Technique Leader,1987-04-27,34578
Kwangsub,Brender,Engineer,1987-04-23,34582
Uzi,Chartres,Senior Staff,1997-10-01,34584
Duri,Perna,Senior Engineer,2001-01-15,34587
Jouko,Bolotov,Senior Staff,1994-03-22,34597
Insup,Peltason,Senior Engineer,1985-03-10,34599
Godehard,Middleton,Senior Staff,2002-05-29,34600
Garnet,Flasterstein,Senior Engineer,1994-12-20,34602
Arunachalam,Middleton,Senior Engineer,1997-05-28,34605
Hailing,Hockney,Senior Engineer,1987-11-04,34609
Xinan,Ranum,Engineer,1994-08-26,34610
Udi,McConalogue,Senior Engineer,1994-06-17,34626
Xiaoshan,Whittlesey,Senior Staff,1999-06-22,34630
Licheng,Clouatre,Senior Engineer,2000-05-29,34632
Cathie,Jervis,Senior Engineer,1985-10-27,34641
Jixiang,Thibadeau,Senior Staff,1985-04-27,34644
Kerryn,Tiemann,Senior Engineer,1993-06-29,34647
Youngkon,Leaver,Senior Staff,1996-01-20,34651
Kiyokazu,Burnard,Engineer,1995-06-29,34661
Mihalis,Diderrich,Senior Engineer,1995-10-19,34670
Unal,Pews,Senior Staff,1985-05-01,34673
Beshir,Litzkow,Senior Engineer,1999-01-15,34690
Margareta,Gadepally,Senior Staff,1999-07-12,34695
Kwun,Gecsei,Engineer,1998-04-01,34701
Jaques,Usery,Engineer,1995-09-01,34704
Jacqueline,Syang,Senior Engineer,1993-10-04,34707
Anneli,Kragelund,Senior Staff,2001-08-26,34709
Shigeichiro,Akaboshi,Senior Engineer,1985-11-18,34713
Shridhar,Emmart,Senior Staff,1994-12-24,34726
Jiong,Terwilliger,Senior Staff,1992-04-19,34730
Reinhard,Prenel,Staff,1987-11-08,34744
Paddy,Stifter,Senior Engineer,1993-04-17,34752
Maren,Llado,Senior Staff,1995-10-09,34754
Youngkon,Petersohn,Senior Engineer,1995-10-08,34759
Erzsebet,Hebert,Senior Engineer,1990-09-19,34769
Uma,Krohn,Senior Staff,1985-04-13,34790
Monique,Huhdanpaa,Senior Engineer,1997-02-13,34793
Marek,Siksek,Senior Engineer,1997-01-27,34805
Brewster,Rettelbach,Staff,1995-12-16,34813
Rajmohan,Tsukune,Senior Staff,1997-11-13,34814
Chenyi,Schreiter,Senior Engineer,1994-09-12,34816
Heng,Apsitis,Staff,1997-02-10,34827
Poornachandra,Haldar,Senior Staff,1988-08-21,34831
Henk,Kermarrec,Senior Staff,2001-01-05,34839
Weicheng,Birrer,Senior Engineer,1985-04-01,34857
Ingmar,Ruemmler,Senior Engineer,1993-02-05,34873
Krister,Schapiro,Staff,1987-04-16,34881
Christophe,Suppi,Senior Staff,1988-05-06,34882
Christ,Tetzlaff,Senior Staff,1991-06-06,34915
Vidya,Wossner,Senior Staff,1993-10-09,34920
Anwar,Flexer,Senior Engineer,1988-03-02,34928
Macha,Penz,Engineer,1999-11-21,34938
Susanne,Heering,Staff,1999-02-18,34941
Mario,Perfilyeva,Senior Staff,1994-04-22,34947
Goetz,Oberman,Senior Staff,1992-11-30,34958
Vasilis,Luga,Senior Staff,1985-07-22,34960
Uno,Dolinsky,Staff,1999-08-02,34961
Adly,Rosay,Senior Engineer,1999-10-29,34962
Rosella,Ariola,Engineer,1997-11-22,34987
Gererd,Ramaiah,Staff,1991-08-11,34991
Chinhyun,Butner,Senior Engineer,2000-01-01,34996
Shim,Narwekar,Senior Engineer,1995-04-23,34999
Charmane,Vernadat,Senior Staff,1998-05-14,35011
Noritoshi,Krybus,Senior Staff,2001-01-15,35012
Dinah,Awdeh,Engineer,1998-08-18,35016
Horward,Pearson,Senior Engineer,1999-07-14,35031
Nahid,Servieres,Staff,1998-06-16,35042
Tooru,Hagimont,Senior Engineer,1997-10-31,35045
Sachem,Luders,Senior Staff,2002-05-10,35046
Vitaly,Flasterstein,Engineer,1999-12-06,35059
Kirk,Masada,Senior Engineer,1994-12-15,35070
Kagan,Sridhar,Senior Engineer,1995-09-17,35072
Chandrasekaran,Goldhammer,Senior Staff,1994-11-25,35085
Paris,Lanzelotte,Senior Engineer,1993-03-02,35089
Sverrir,Mateescu,Senior Staff,1997-09-28,35093
Gaetan,Olivero,Senior Engineer,1990-02-23,35096
Reinhold,Speckmann,Senior Engineer,1998-08-02,35110
Yechezkel,Schaaf,Engineer,1999-07-12,35123
Susuma,Boreale,Senior Engineer,1994-10-19,35138
Conor,Uhrig,Senior Engineer,1994-07-20,35142
Kasturi,Cummings,Engineer,1999-04-27,35146
Anestis,Pramanik,Engineer,1998-02-22,35158
Mohammad,Demke,Staff,1998-08-14,35159
Uinam,Eldridge,Senior Engineer,2001-01-30,35182
Mart,Peir,Staff,1986-09-11,35195
Aleksander,Karnin,Technique Leader,1995-08-12,35216
Byong,Felcyn,Senior Engineer,2001-02-21,35226
Tua,Passafiume,Senior Staff,1993-01-18,35248
Wojceich,McDermid,Senior Staff,1994-12-14,35256
Zsolt,Mitsuhashi,Senior Staff,1987-05-13,35273
Yucel,Conta,Senior Staff,2001-07-19,35287
Houman,Esteva,Engineer,2000-01-17,35298
Chuanti,Chenoweth,Senior Engineer,1999-09-30,35300
Babette,Panwar,Senior Engineer,1990-09-03,35327
Goetz,Lukaszewicz,Senior Staff,1991-11-23,35329
Leni,Koyama,Senior Staff,1997-02-23,35330
Basim,Ghazalie,Senior Engineer,1999-01-14,35331
Hideyuki,Veldwijk,Senior Engineer,2002-07-10,35333
Elvis,Potthoff,Senior Engineer,1988-02-29,35342
Koldo,Kilgour,Senior Engineer,1996-02-27,35352
Odoardo,England,Senior Staff,1997-01-18,35363
Divier,Quadeer,Senior Staff,1985-08-01,35365
Arup,Chleq,Senior Engineer,2000-01-13,35371
Bernd,Kumaresan,Staff,1985-12-30,35373
Shmuel,Muchinsky,Senior Staff,1994-12-24,35394
Rafols,Kaminger,Technique Leader,1997-04-16,35413
Heather,Wroclawski,Senior Staff,1994-02-11,35416
Mircea,Unni,Senior Staff,1991-03-10,35418
Moss,Caine,Senior Engineer,1994-11-30,35423
Hinrich,Desikan,Senior Engineer,1994-06-29,35425
Cathie,Ducloy,Senior Engineer,1995-08-17,35429
Eldridge,Chimia,Senior Engineer,1991-09-29,35430
Paloma,Xiaoshan,Senior Engineer,1998-09-10,35440
Jinya,Naudin,Senior Staff,1997-02-14,35451
Satoru,Ranai,Senior Engineer,1993-11-01,35470
Frederique,Heinisuo,Senior Staff,2000-04-07,35476
Jeane,Gire,Engineer,1995-02-03,35484
Margo,Tyugu,Senior Engineer,1994-04-07,35485
Jeanne,Godskesen,Senior Staff,1998-11-01,35489
Monique,Lichtner,Technique Leader,1997-10-27,35495
Gretta,Scharstein,Engineer,1999-10-01,35501
JoAnne,Merks,Senior Engineer,2002-06-30,35510
Wojceich,Azadmanesh,Senior Engineer,1999-08-04,35541
Ashish,Loncour,Engineer,1995-04-13,35549
Van,Hutton,Senior Staff,1987-12-14,35550
Sungwon,Cangellaris,Senior Engineer,1991-06-29,35552
Aran,Bahl,Senior Staff,1996-07-06,35554
Aleksander,Zaiane,Engineer,1996-12-24,35555
Rosalyn,Cooman,Senior Engineer,1991-10-27,35557
Kshitij,Staudhammer,Senior Staff,2002-06-17,35558
Sorina,Menhardt,Senior Engineer,1990-08-20,35567
Baocai,Katzenelson,Senior Engineer,2002-07-09,35570
Gift,DasSarma,Technique Leader,1987-09-04,35584
Kyoichi,Trystram,Senior Engineer,1995-01-13,35589
Arun,Chleq,Senior Engineer,1995-03-03,35592
Vidya,Decaestecker,Technique Leader,1987-06-14,35609
Aruna,Kornyak,Senior Staff,1995-05-09,35610
Margareta,Thorensen,Senior Engineer,1996-11-25,35613
Guozhong,Yemenis,Senior Engineer,1992-02-04,35617
Arie,Auyong,Senior Engineer,2000-05-12,35618
Yishay,Axelband,Senior Engineer,1995-12-13,35626
Ekawit,Cangellaris,Senior Staff,1996-11-12,35635
Chriss,Lanphier,Senior Engineer,1994-07-08,35640
Sreekrishna,Heusch,Staff,1999-05-25,35644
Vishv,Pulkowski,Staff,1985-10-16,35647
Dharmaraja,Schaaf,Senior Staff,1994-02-05,35648
Gro,Armand,Staff,1997-07-17,35659
Munehiko,Narwekar,Senior Engineer,1993-02-07,35666
Hyuckchul,Srimani,Engineer,1988-11-24,35667
Huai,Panwar,Engineer,1998-02-27,35675
Luise,Roisin,Senior Engineer,1990-08-23,35681
Nectarios,Crouzet,Staff,1989-10-19,35686
Kristina,Grandbois,Senior Engineer,1995-10-29,35693
Gererd,Schwabacher,Engineer,1999-09-12,35706
Tonny,Pargas,Senior Engineer,1994-12-22,35736
Sangeeta,Falby,Senior Engineer,1985-04-09,35748
Xudong,Zultner,Senior Engineer,1988-12-10,35755
Francoise,Ramalingam,Assistant Engineer,1987-04-08,35770
Martien,Fujisaki,Senior Engineer,2002-02-06,35776
Duro,Tyugu,Senior Staff,1995-04-27,35780
Christophe,Terkki,Technique Leader,1987-11-08,35786
Weiyi,Burnard,Senior Staff,1994-12-18,35788
Barry,Ramsey,Senior Engineer,1995-08-08,35790
Emran,Hiroyama,Senior Engineer,1994-07-11,35797
Kazuhisa,Azumi,Senior Staff,1988-07-07,35827
Magy,McFarlan,Senior Engineer,1994-04-30,35830
Elzbieta,Smeets,Technique Leader,1997-07-10,35832
Yoshimitsu,Esteva,Technique Leader,1986-10-07,35835
Serif,Attimonelli,Engineer,1999-06-09,35847
Yongqiao,Uhrig,Staff,1985-08-18,35851
Zhensheng,Walston,Technique Leader,1998-07-29,35852
Conrado,Zschoche,Senior Engineer,1992-04-20,35860
Claudi,Fujisaki,Senior Engineer,2002-06-11,35865
Sumant,Henseler,Senior Engineer,1996-05-19,35867
Sushant,Hambrick,Senior Engineer,1994-10-14,35882
Heather,Wrigley,Senior Engineer,1996-05-11,35887
Bokyung,Birnbaum,Senior Engineer,1995-12-22,35891
Ghassan,Olivero,Senior Staff,1994-01-07,35892
Mayuko,Christ,Engineer,1998-06-08,35902
Wonhee,Talmon,Senior Engineer,1990-03-20,35916
Doowon,Jervis,Senior Staff,1988-10-14,35919
Hiroyasu,Demri,Senior Staff,1995-03-12,35939
Deborah,Keohane,Senior Engineer,2000-11-16,35947
Cristinel,Versino,Engineer,1986-12-17,35955
Adam,Danlos,Senior Staff,1995-11-16,35960
Vincent,Schlenzig,Engineer,1988-11-19,35963
Alenka,Stanfel,Staff,1994-08-28,35979
Shigehiro,Plavsic,Senior Staff,1992-10-25,35983
Dmitri,Crelier,Senior Staff,1996-08-19,35989
Gurbir,Crelier,Staff,2000-01-31,35991
Ibibia,Conia,Senior Engineer,1995-06-22,35994
Claude,Ducloy,Engineer,1997-01-05,35999
Weidon,Genin,Senior Engineer,1996-05-11,36000
Moto,Siepmann,Staff,1998-09-10,36002
Pranjal,Gonthier,Senior Engineer,1990-10-04,36009
Uma,Picaronny,Senior Engineer,1998-07-05,36023
Mikhail,Luck,Senior Staff,1994-12-25,36032
Chaitali,Prochazka,Staff,1998-03-10,36042
Fai,Rubsam,Senior Staff,2002-03-18,36043
Isaac,Marrakchi,Senior Engineer,1999-02-03,36048
Changho,Rubsam,Senior Staff,1994-06-04,36055
Shirish,Gire,Senior Staff,1992-10-10,36073
Sachar,Grabner,Senior Staff,1993-10-01,36080
Premsyl,Biron,Engineer,1986-06-19,36081
King,Schwabacher,Senior Staff,1992-02-10,36085
Conor,Gajiwala,Senior Staff,1997-03-27,36088
Shaibal,Ozery,Senior Staff,1997-05-02,36099
Masaki,Farrag,Senior Engineer,2001-11-15,36109
Theron,Badache,Senior Engineer,1994-04-24,36131
Fai,Famili,Staff,1995-06-10,36137
Richard,Syrotiuk,Senior Staff,1986-01-30,36147
Elgin,Pettis,Senior Staff,1994-06-03,36158
Theron,Glinert,Senior Engineer,1989-11-11,36159
Rance,Takkinen,Senior Engineer,2002-03-03,36173
Saeko,Escriba,Engineer,1997-08-08,36174
Bernt,Valette,Senior Staff,1999-06-04,36178
Adamantios,Eppinger,Senior Staff,1996-10-05,36197
Kwangjo,Falco,Staff,1999-07-01,36205
Shunichi,Chinal,Senior Staff,1996-03-16,36212
Fuqing,Cooley,Senior Engineer,2002-02-25,36223
Khatoun,Borovoy,Senior Staff,1990-06-26,36230
Rajmohan,Rebaine,Senior Engineer,1999-04-14,36235
Kaijung,Cummings,Senior Engineer,1996-08-20,36246
Kenroku,Seiwald,Senior Staff,1985-03-13,36251
Elvia,Fujisaki,Senior Staff,1997-08-26,36266
Odysseas,Bale,Engineer,1998-02-21,36269
Valeri,Alencar,Senior Engineer,1996-09-28,36272
Amstein,Anandan,Senior Engineer,2000-04-09,36303
Shawna,Badr,Senior Engineer,1994-10-13,36309
Jahangir,Burnard,Senior Staff,2000-04-24,36311
Yurij,Chelton,Engineer,1988-12-20,36317
Gad,Nourani,Engineer,1993-02-06,36323
Xiaoqiu,Speek,Senior Engineer,1997-08-28,36340
Aloys,Ladret,Staff,1997-01-13,36349
Aleksandar,Alblas,Senior Engineer,1996-01-10,36355
Shaibal,Farris,Senior Engineer,1995-12-14,36368
Randi,Potthoff,Staff,1996-09-17,36390
Pintsang,Litzler,Senior Engineer,1987-08-05,36409
Navin,Steenbeek,Senior Staff,1992-07-15,36410
Abdulah,Senzako,Senior Staff,1994-06-20,36412
Yishay,Zedlitz,Engineer,1996-10-31,36425
Izaskun,Verhaegen,Senior Staff,1994-08-05,36428
Dekang,Pearson,Senior Engineer,2001-11-03,36441
Sudharsan,Ellozy,Senior Staff,1988-05-09,36445
Pantung,Billawala,Staff,1990-10-03,36448
Willard,Garnier,Senior Staff,1991-12-19,36458
Chanjung,Burnard,Staff,2000-01-02,36463
Margareta,Luon,Senior Engineer,2002-03-16,36491
Sachin,Picci,Engineer,1987-06-30,36500
Somnath,Lundstrom,Technique Leader,1991-08-29,36503
Tru,Schlumberger,Engineer,1985-10-25,36514
Qiwen,Piazza,Senior Engineer,1992-11-28,36516
Dinkar,Aseltine,Senior Engineer,1991-09-20,36525
Toong,Bage,Staff,1998-01-20,36529
Alair,Miara,Engineer,1996-10-16,36536
Adin,Kawashima,Senior Engineer,1993-02-05,36537
Gopalakrishnan,Farrar,Senior Engineer,1994-10-08,36539
Sibyl,Dredge,Assistant Engineer,1998-07-04,36542
Chriss,Hennebert,Senior Engineer,1986-10-04,36543
Takahiro,Rothenberg,Senior Staff,1994-11-06,36555
Guttorm,Peyn,Senior Engineer,1986-12-08,36564
Xuedong,Lakshmanan,Senior Engineer,2002-07-04,36573
Menkae,Aamodt,Staff,1996-02-23,36585
Heeju,Goodrum,Senior Staff,1992-12-10,36591
Genevieve,Munck,Senior Engineer,1995-03-20,36599
Heon,Unno,Senior Engineer,1998-09-14,36603
Xiaobin,Sullins,Senior Engineer,1994-02-27,36617
Arno,Itzigehl,Senior Staff,1995-06-23,36620
Ashish,Rubsam,Senior Engineer,1997-03-13,36622
Tetsushi,Unni,Staff,1994-06-15,36625
Mary,Quadeer,Technique Leader,1988-12-06,36627
Yonghong,Lortz,Staff,1994-08-30,36633
Suebskul,Masand,Senior Engineer,1994-02-14,36640
Maren,Matzel,Senior Engineer,1989-06-18,36656
Uli,Potthoff,Senior Staff,1990-04-28,36660
Cristinel,Mateescu,Senior Engineer,2002-01-07,36688
Bedir,Guerreiro,Technique Leader,1992-05-10,36692
Aksel,Shackel,Senior Staff,1997-04-08,36698
Zissis,Berztiss,Senior Engineer,1991-11-09,36705
Tsuneo,Hettesheimer,Engineer,1999-03-30,36709
Herbert,Kandlur,Engineer,1989-07-17,36716
Amabile,Walston,Senior Engineer,1996-12-25,36718
Samphel,Zirintsis,Technique Leader,1988-08-29,36722
Zhaofang,Greibach,Senior Engineer,1997-04-02,36727
Valeri,Haddadi,Senior Staff,1991-08-20,36738
Fumiko,Negoita,Senior Engineer,1998-05-28,36754
Fumiyo,Norsworthy,Senior Engineer,1999-07-15,36760
Zeljko,Hinsberger,Senior Engineer,1992-06-16,36761
Kristen,Rissland,Senior Engineer,2001-05-14,36777
Annemarie,Schnabel,Senior Engineer,1990-07-24,36780
Gro,Bugrara,Staff,1999-01-26,36783
Kwee,Ulupinar,Senior Engineer,2000-08-30,36788
Kinh,Rabejac,Staff,1991-03-19,36791
Nidapan,Einsfeld,Senior Staff,1995-05-07,36795
Tetsushi,Murtagh,Technique Leader,1986-07-12,36799
Fox,Schach,Senior Staff,1993-03-07,36810
Tadahiro,Parveen,Senior Staff,1991-03-23,36819
Masali,Gopalakrishnan,Assistant Engineer,1996-01-26,36843
Lalit,Delgrande,Senior Engineer,1994-04-24,36859
Jianhao,Luff,Senior Engineer,1995-11-20,36870
Yechezkel,Gecsei,Senior Engineer,2001-11-19,36871
Berna,Reghbati,Senior Engineer,1993-12-19,36873
Genki,Aloia,Senior Staff,2002-05-11,36874
Shahaf,Ranst,Senior Staff,2002-04-02,36877
Dzung,Setlzner,Senior Staff,2001-05-15,36880
Janalee,Lodder,Senior Staff,1992-07-19,36882
Aamod,Lanphier,Senior Staff,1995-09-24,36888
Abdulla,Ozeri,Engineer,1994-03-02,36895
Anoosh,Kornyak,Senior Engineer,1994-06-28,36906
Aleksandar,Danlos,Senior Staff,1990-09-30,36916
Kolar,Karunanithi,Senior Engineer,1995-12-06,36917
Howell,Shimshoni,Senior Engineer,1994-01-21,36918
Parviz,Jeong,Senior Engineer,1995-01-04,36923
Sadegh,Vasanthakumar,Senior Engineer,1993-10-18,36930
Rafols,Kamble,Engineer,1989-07-07,36936
Hairong,Coney,Senior Staff,1996-05-04,36942
Gou,Hinsberger,Senior Engineer,1992-04-08,36944
Xuejun,Schaad,Staff,1999-09-18,36949
Caolyn,Hoppenstand,Senior Engineer,1994-09-14,36951
Lihong,Butner,Senior Staff,2001-07-23,36953
Morrie,Jenevein,Senior Staff,1995-05-06,36959
Qiwen,Thorelli,Senior Engineer,1990-03-09,36961
Yechiam,Munch,Senior Engineer,1989-05-11,36965
Shigehiro,Kuzuoka,Senior Staff,1994-07-05,36967
Shin,Siprelle,Staff,1998-02-03,36968
Fabrizio,Lalonde,Senior Engineer,1992-04-26,36986
Brigham,Erde,Senior Staff,1993-04-20,36987
Phule,Maliniak,Staff,1999-03-14,36998
Arunas,Range,Senior Staff,1994-05-21,36999
Steve,Staelin,Senior Staff,1996-09-06,37006
Mantis,Piazza,Senior Engineer,1993-02-01,37007
Gaetan,Doering,Staff,1996-05-02,37012
Shiv,Flasterstein,Senior Engineer,1992-01-30,37023
Dinah,Diderrich,Engineer,1997-06-27,37039
Teruyuki,Gecsel,Senior Staff,1993-02-25,37045
Fai,Eldridge,Senior Engineer,1993-08-26,37048
Somnath,Morrey,Senior Staff,1994-06-10,37060
Moie,Himler,Staff,1995-12-02,37066
Xiaoqiang,Delgrande,Senior Staff,1993-03-20,37068
Kwangjo,Zockler,Senior Engineer,1994-05-12,37075
Yechezkel,Lichtner,Senior Engineer,1985-07-07,37076
Rafail,Verspoor,Engineer,1992-10-15,37077
Munehiro,Zastre,Senior Engineer,1994-08-10,37082
Claudi,Angel,Senior Staff,1998-04-24,37087
Jaber,Waeselynck,Senior Engineer,1992-05-09,37100
Jaewon,Pappas,Senior Staff,1995-09-08,37101
Kazuhira,Pileggi,Senior Engineer,1997-05-02,37103
Fumiko,Munoz,Assistant Engineer,1996-01-10,37117
Kasidit,Masada,Senior Engineer,2001-02-13,37120
Salvador,Byoun,Engineer,1999-06-18,37121
Conor,Koblitz,Engineer,1999-03-17,37131
Zhigen,Meriste,Senior Staff,1995-09-20,37141
Leaf,Biros,Senior Engineer,1985-04-11,37151
Zhilian,Rissanen,Engineer,1988-06-11,37154
Fuqing,Coney,Senior Engineer,1996-04-12,37164
Xiaobin,Pfau,Senior Engineer,1998-07-14,37166
Nathalie,Lorys,Senior Engineer,1996-07-29,37171
Panayotis,Daescu,Senior Engineer,1997-02-28,37176
Khun,Eterovic,Senior Staff,2001-07-07,37179
Arup,Rebaine,Senior Staff,1987-12-21,37180
Maha,Feinberg,Senior Staff,1993-12-29,37186
Nathalie,Luit,Senior Staff,1994-12-24,37217
Akhilish,Granlund,Senior Staff,1991-10-12,37219
Yechiam,Fendler,Senior Staff,1992-08-09,37230
Vidya,Leonhardt,Senior Staff,1988-05-16,37231
Ranan,Luby,Senior Staff,1998-11-30,37236
Sampalli,Iacovou,Senior Staff,1996-07-11,37244
Along,Gyimothy,Senior Staff,1999-02-19,37245
Fabrizio,Goodrum,Senior Engineer,1987-11-29,37258
Gen,Tanemo,Senior Engineer,1993-05-13,37259
Sham,Fontan,Senior Staff,1999-11-27,37260
Aris,Rotem,Senior Staff,1994-03-03,37263
Bokyung,Ellozy,Senior Engineer,1995-12-23,37265
Itzchak,Falster,Senior Staff,1988-07-04,37267
Deborah,Bharadwaj,Senior Engineer,1997-11-05,37270
Rosli,Vidya,Engineer,1987-03-09,37274
Gita,Fontan,Senior Staff,1995-05-28,37281
Arno,Zaccaria,Senior Staff,2001-11-01,37296
Rasikan,Piancastelli,Senior Staff,1997-01-03,37303
Mitchel,Restivo,Senior Staff,1992-10-19,37305
Mingzeng,Braunschweig,Senior Staff,1989-10-11,37306
Lihong,Eickenmeyer,Senior Staff,1991-04-11,37311
Arie,Gecsei,Senior Staff,1994-05-25,37312
Alejandro,Isard,Senior Staff,1999-05-21,37318
Yuguang,Gils,Staff,1997-06-25,37319
Geoff,Kleiser,Senior Staff,1987-04-03,37343
Zhiguo,Ratzlaff,Senior Staff,1994-09-13,37348
Sangeeta,Karnin,Senior Staff,1990-04-24,37359
Yuriy,Giaccio,Senior Staff,1985-07-15,37367
Dietrich,Peot,Senior Staff,1992-03-05,37372
Roddy,Chepyzhov,Senior Staff,1995-03-03,37383
Ziya,Ramamoorthy,Senior Engineer,1989-05-22,37388
Shuky,Lorch,Engineer,1995-08-01,37404
Rildo,Cincotta,Engineer,2001-12-24,37406
Danae,Cochrane,Senior Engineer,2001-07-19,37407
Mingdong,Lunt,Staff,1988-02-05,37410
Jagoda,Gill,Senior Engineer,1999-05-10,37413
Bogdan,Perri,Senior Engineer,1997-09-11,37424
Gino,Dichev,Senior Staff,1993-07-13,37432
Hinrich,Delgrossi,Engineer,1996-04-30,37438
Subhada,Lipner,Senior Staff,1993-07-27,37442
Wanqing,Weiland,Senior Staff,1992-06-20,37452
KayLiang,Bernardeschi,Staff,1999-01-24,37454
Lihong,Nittel,Senior Staff,1988-01-08,37463
Mabhin,Barinka,Senior Engineer,1996-10-08,37466
Kenton,Mahmud,Senior Engineer,1996-12-10,37478
Hugo,Kohling,Staff,1988-09-12,37486
Danny,Tchuente,Senior Staff,1989-08-28,37496
Mona,Syang,Senior Staff,1996-12-18,37501
Mack,Maquelin,Senior Engineer,1994-05-30,37504
Kamran,Quittner,Senior Staff,1993-07-04,37507
Leon,Syrzycki,Senior Staff,1996-12-19,37516
Nahum,Rassart,Senior Engineer,1992-07-02,37518
Debaprosad,Menhardt,Senior Engineer,1991-12-16,37546
Bingning,Eugenio,Staff,1995-01-19,37562
Mansur,Narwekar,Senior Staff,1990-09-19,37577
Alair,Georg,Staff,1989-09-09,37580
