emp_no,first_name,last_name,title,to_date,from_date,hire_date
79895,Fei,Murtagh,Senior Staff,9999-01-01,1986-01-19,1986-01-19
80067,Kazuhisa,Weiland,Senior Staff,9999-01-01,1991-11-09,1985-11-09
80203,Shakhar,Baik,Staff,9999-01-01,1993-12-01,1989-02-26
80432,Stella,Figueira,Senior Staff,9999-01-01,1998-03-14,1990-03-14
80731,Shaowen,Eldridge,Senior Staff,9999-01-01,1994-12-05,1987-12-05
80850,Koldo,Luit,Senior Engineer,9999-01-01,2001-04-15,1993-11-19
80889,Shigeo,Linnainmaa,Senior Engineer,9999-01-01,1985-07-30,1985-07-30
80948,Harjit,Bardell,Senior Engineer,9999-01-01,1996-05-23,1991-05-24
81105,Jaewon,Boissier,Senior Engineer,9999-01-01,1998-05-24,1988-01-15
81545,Larisa,Kornyak,Technique Leader,9999-01-01,1996-03-10,1989-03-05
81644,Divine,Ghandeharizadeh,Staff,9999-01-01,1997-11-28,1995-08-01
81995,Sreekrishna,Brender,Senior Engineer,9999-01-01,1996-03-21,1985-09-14
82069,Yechezkel,Perfilyeva,Senior Engineer,9999-01-01,2000-11-02,1994-11-03
82098,Poornachandra,Wilharm,Senior Engineer,9999-01-01,1998-04-20,1990-01-18
82351,Stevo,Thambidurai,Senior Staff,9999-01-01,1989-10-27,1989-10-27
82511,Uwe,Koblick,Engineer,9999-01-01,1998-04-04,1991-07-21
82919,Shigeu,Claffy,Engineer,9999-01-01,1998-02-03,1985-11-11
82928,Alselm,Rikino,Senior Engineer,9999-01-01,1997-11-16,1990-11-16
83280,Francesca,Ellozy,Senior Engineer,9999-01-01,1999-08-08,1992-03-17
83289,Shigeichiro,Engelmann,Senior Engineer,9999-01-01,2000-01-09,1992-02-29
83509,Breannda,Collavizza,Senior Engineer,9999-01-01,1994-10-12,1989-10-12
83544,Leaf,Baak,Senior Staff,9999-01-01,2001-09-05,1986-02-06
83714,Ohad,Kilgore,Senior Engineer,9999-01-01,1997-07-01,1990-07-01
83805,Manohar,Harllee,Senior Engineer,9999-01-01,1987-03-11,1986-05-29
83941,Zsolt,Hagimont,Senior Staff,9999-01-01,2001-10-08,1994-01-12
84029,Babette,Eugenio,Staff,9999-01-01,1997-09-21,1996-03-05
84179,Shuichi,Nanard,Senior Engineer,9999-01-01,1989-03-14,1989-03-14
84236,Eberhardt,Barriga,Senior Staff,9999-01-01,1993-06-03,1987-06-04
84315,Kristina,Baumann,Assistant Engineer,9999-01-01,1996-09-26,1996-09-26
84451,Shiv,Aumann,Senior Engineer,9999-01-01,1998-06-14,1988-01-21
84508,Tommaso,Vidya,Engineer,9999-01-01,1998-05-02,1998-05-02
84840,Sverrir,Neimat,Staff,9999-01-01,1996-11-03,1995-03-19
84922,Parke,Unno,Engineer,9999-01-01,1996-07-01,1987-06-18
84942,Shin,Fujisaki,Technique Leader,9999-01-01,1988-02-23,1988-02-23
85216,Ferdinand,Rosiles,Senior Staff,9999-01-01,1997-07-08,1997-07-08
85288,Younwoo,Luders,Senior Engineer,9999-01-01,2002-03-31,1993-06-28
85414,Chiradeep,Callaway,Staff,9999-01-01,1999-07-30,1999-01-19
85445,Yongdong,Pollock,Staff,9999-01-01,1998-03-17,1997-11-21
85702,Udi,Merks,Engineer,9999-01-01,1997-08-15,1987-08-22
85874,Pasqua,Taubman,Senior Staff,9999-01-01,1986-06-23,1986-06-23
86213,Kristine,Clemencon,Senior Staff,9999-01-01,1996-04-21,1987-11-12
86354,Ronghao,Segond,Senior Engineer,9999-01-01,1993-09-13,1989-11-11
86422,Jaewon,Thummel,Senior Staff,9999-01-01,1992-09-14,1985-09-14
86546,Oldrich,Woycyznski,Senior Engineer,9999-01-01,1990-05-15,1985-05-15
86655,Zhenhua,Lorys,Engineer,9999-01-01,1995-08-21,1990-04-29
86672,JoAnne,Anido,Staff,9999-01-01,1995-09-15,1985-03-05
87129,Keung,Neiman,Staff,9999-01-01,1997-04-13,1992-01-09
87353,Quingbo,Coombs,Senior Engineer,9999-01-01,1999-01-17,1991-03-04
87714,Khun,Janetzko,Engineer,9999-01-01,1998-09-13,1989-09-13
87729,Yongmin,Roccetti,Senior Staff,9999-01-01,1991-12-10,1986-12-10
87783,Conor,Thorensen,Senior Engineer,9999-01-01,1988-02-24,1987-06-07
88103,Goo,Bresenham,Senior Staff,9999-01-01,1999-01-31,1998-03-05
88411,Lena,Cannane,Engineer,9999-01-01,2000-01-28,1988-08-13
88422,Jungsoon,Birsak,Technique Leader,9999-01-01,1985-04-03,1985-04-03
88647,Vasiliy,Ratnaker,Engineer,9999-01-01,1995-08-09,1995-03-12
88958,Vojin,Coombs,Senior Staff,9999-01-01,2002-07-23,1994-11-08
88965,Mang,Hedayat,Engineer,9999-01-01,1995-05-22,1995-05-22
89048,Otmar,Birjandi,Senior Engineer,9999-01-01,1992-03-23,1985-03-23
89090,Tetsushi,Theuretzbacher,Senior Staff,9999-01-01,1995-02-01,1990-02-01
89161,Conal,Yetto,Senior Staff,9999-01-01,1999-01-12,1991-01-12
89207,Along,Erol,Senior Staff,9999-01-01,1999-10-17,1992-10-16
89346,Mansur,Comyn,Engineer,9999-01-01,1999-08-31,1996-08-15
89590,Guther,Rothenberg,Senior Staff,9999-01-01,2000-08-07,1989-01-28
89664,Pranjal,Rossi,Staff,9999-01-01,1998-07-07,1998-07-07
89680,Aiman,Mawatari,Senior Engineer,9999-01-01,1997-05-01,1988-05-01
89806,Xiadong,Shinomoto,Senior Engineer,9999-01-01,2002-05-24,1996-02-29
89922,Alexius,Ibel,Senior Engineer,9999-01-01,1993-04-24,1988-04-24
89941,Arnould,Weedman,Senior Staff,9999-01-01,1989-07-28,1989-07-28
90077,Vivian,Guerreiro,Engineer,9999-01-01,1998-07-08,1985-11-21
90084,Renny,Bale,Senior Engineer,9999-01-01,1996-11-22,1989-11-22
90211,Bader,Denis,Engineer,9999-01-01,1997-10-06,1997-02-24
90292,Koichi,Assaf,Senior Engineer,9999-01-01,1998-05-26,1990-05-26
90518,Fumiko,Chepyzhov,Senior Staff,9999-01-01,1997-01-27,1988-01-28
90614,Yonghoan,Trogemann,Engineer,9999-01-01,1997-09-23,1988-09-23
90692,Rajmohan,DasSarma,Senior Staff,9999-01-01,1990-09-14,1985-09-14
91172,Kazuhisa,Melter,Senior Staff,9999-01-01,1993-07-15,1987-07-16
91182,Lucien,Schwartzburd,Senior Engineer,9999-01-01,1994-08-25,1988-08-25
91229,Yahiko,Hebden,Senior Engineer,9999-01-01,2001-10-03,1985-07-16
91256,Gunilla,Milicic,Staff,9999-01-01,1998-01-09,1994-10-17
91333,Lobel,Stafford,Staff,9999-01-01,1998-11-29,1998-06-18
91415,Jamaludin,Nilsson,Senior Staff,9999-01-01,1994-01-15,1987-01-15
91648,Dmitry,Msuda,Senior Staff,9999-01-01,1997-10-22,1985-08-24
92438,Aria,Kilgore,Senior Engineer,9999-01-01,1996-02-28,1986-05-18
92454,Visit,McFarlan,Senior Engineer,9999-01-01,1996-10-21,1987-10-22
92577,Zhanqiu,Farrow,Assistant Engineer,9999-01-01,1999-01-10,1996-10-01
92598,Ranga,Merro,Assistant Engineer,9999-01-01,1996-05-11,1996-05-11
92685,Mang,Atchley,Senior Staff,9999-01-01,1995-06-07,1990-03-13
92841,Claude,Candan,Senior Staff,9999-01-01,1993-08-04,1993-08-04
92846,Anyuan,Kropatsch,Senior Staff,9999-01-01,1993-09-05,1986-09-05
92920,Huei,Hutter,Senior Engineer,9999-01-01,2000-01-29,1985-06-07
93040,Jaques,Kabayashi,Senior Engineer,9999-01-01,1992-03-13,1992-03-13
93220,Richara,Walston,Senior Engineer,9999-01-01,1996-08-27,1985-09-28
93278,Magdalena,Penn,Senior Engineer,9999-01-01,2002-01-04,1987-04-27
93549,Arie,Coullard,Senior Staff,9999-01-01,1998-04-15,1986-11-01
93600,Kristina,Neimat,Technique Leader,9999-01-01,1988-04-18,1988-04-18
94331,Ramzi,Cronau,Technique Leader,9999-01-01,1999-09-03,1990-03-31
94416,Aran,Cesareni,Senior Staff,9999-01-01,1990-02-10,1989-08-04
94761,Hitofumi,Zaccaria,Senior Engineer,9999-01-01,1997-11-22,1988-11-22
94944,Heping,Matheson,Senior Engineer,9999-01-01,1997-06-24,1988-02-22
95181,Yishai,Cappelli,Staff,9999-01-01,1997-01-30,1995-03-23
95286,Kristin,Guerreiro,Senior Engineer,9999-01-01,1997-08-23,1986-10-31
95314,Rasiah,Koblick,Senior Staff,9999-01-01,1999-08-21,1991-08-21
95406,Alair,Lyonns,Engineer,9999-01-01,1997-07-12,1996-05-25
95416,Gianluca,Ramaiah,Engineer,9999-01-01,1993-11-29,1989-11-14
95509,Kristinn,Loncour,Engineer,9999-01-01,1995-02-08,1990-05-24
95920,Nobuyoshi,Hegner,Senior Staff,9999-01-01,2001-09-07,1992-07-05
96571,Kokou,Garrabrants,Senior Engineer,9999-01-01,1997-11-05,1994-12-03
96579,Mohan,Tasistro,Engineer,9999-01-01,1996-02-10,1996-02-10
96767,Arumugam,Vecchio,Senior Engineer,9999-01-01,1992-08-14,1985-08-14
97018,Jeanna,Chinen,Senior Engineer,9999-01-01,1994-01-01,1989-01-01
97623,Haldon,Janetzko,Senior Staff,9999-01-01,1996-09-10,1990-09-11
97661,Avishai,Hegner,Senior Staff,9999-01-01,2002-05-08,1993-05-08
98288,Sumali,Huttel,Senior Staff,9999-01-01,1997-09-12,1989-09-12
98306,Ziya,Kadhim,Senior Engineer,9999-01-01,1995-11-02,1985-02-16
98639,Florina,Assaf,Staff,9999-01-01,1996-05-18,1996-05-18
99057,Shugo,Reeken,Staff,9999-01-01,1999-06-21,1987-11-10
99373,Xiaobin,Christianini,Senior Staff,9999-01-01,1991-12-25,1985-12-25
99377,Carrsten,Francisci,Senior Engineer,9999-01-01,1991-06-16,1991-06-16
99590,Dhritiman,Anily,Staff,9999-01-01,1998-12-16,1993-07-28
99654,Mahendra,Motley,Senior Staff,9999-01-01,1992-09-28,1985-09-28
100865,Hisao,Peral,Senior Engineer,9999-01-01,1998-10-03,1989-09-12
100916,Heejo,Aamodt,Senior Engineer,9999-01-01,2001-04-22,1990-04-30
101487,Abdelaziz,Sury,Senior Staff,9999-01-01,1999-01-31,1991-01-31
101647,Mori,Homond,Senior Staff,9999-01-01,2000-05-09,1994-05-10
101902,Mantis,Millington,Senior Staff,9999-01-01,1997-03-17,1987-05-12
102620,Adin,Templeman,Engineer,9999-01-01,1997-12-10,1995-10-19
103196,Djenana,Albarhamtoshy,Senior Staff,9999-01-01,1993-07-16,1988-07-16
103310,Visit,Swen,Senior Staff,9999-01-01,2000-10-01,1993-03-07
103316,Susanne,Peternell,Senior Engineer,9999-01-01,1999-07-27,1985-05-22
103342,Beshir,Hellwagner,Engineer,9999-01-01,1998-02-03,1989-05-30
103756,Heping,Halloran,Engineer,9999-01-01,2001-04-08,1992-04-08
104133,Pranjal,Zyda,Senior Staff,9999-01-01,1998-07-03,1991-07-03
104845,Werner,Lodder,Senior Staff,9999-01-01,1998-06-17,1992-05-05
104988,Parviz,Litzler,Senior Engineer,9999-01-01,1999-08-09,1992-08-08
105342,Kwun,Reeker,Technique Leader,9999-01-01,1999-07-29,1997-01-20
105356,Diederik,Matzov,Senior Engineer,9999-01-01,1996-05-12,1988-05-12
105432,Mohamadou,Stafford,Senior Engineer,9999-01-01,2000-09-11,1990-06-02
105520,Haldun,Lienhardt,Senior Staff,9999-01-01,1987-01-29,1987-01-29
105731,Sachem,Cromarty,Engineer,9999-01-01,1996-08-19,1990-08-20
106096,Naftali,Schurmann,Senior Engineer,9999-01-01,1999-12-03,1990-01-17
106242,Nevio,Thisen,Senior Staff,9999-01-01,1994-03-25,1988-03-25
106695,Lijie,Garrabrants,Senior Staff,9999-01-01,1990-10-02,1985-10-02
106710,Babette,Anandan,Senior Staff,9999-01-01,1993-11-22,1986-11-22
107486,Siamak,Luiz,Senior Engineer,9999-01-01,1987-02-11,1987-02-11
107737,Fabrizio,Chleq,Senior Engineer,9999-01-01,1999-07-31,1985-09-06
107792,Shahab,Crooks,Senior Staff,9999-01-01,2001-03-18,1986-01-29
107828,Ramya,Walston,Senior Staff,9999-01-01,1995-02-03,1989-02-03
108091,Hisao,Ghemri,Senior Staff,9999-01-01,1990-11-14,1985-03-30
108198,Randi,Samarati,Senior Staff,9999-01-01,1999-10-21,1985-11-08
108316,Shai,Stellhorn,Senior Engineer,9999-01-01,1992-05-21,1992-05-21
108988,Oksana,Baek,Senior Staff,9999-01-01,1997-07-20,1989-07-20
109062,Jamaludin,Kandlur,Senior Engineer,9999-01-01,1992-06-19,1985-05-26
109211,Gor,Delgrande,Senior Engineer,9999-01-01,2001-11-06,1985-05-18
109252,Moty,Winter,Technique Leader,9999-01-01,1991-04-28,1991-04-28
109278,Bangqing,Schach,Senior Staff,9999-01-01,1996-03-22,1988-03-22
109552,Menkae,Etalle,Engineer,9999-01-01,2002-05-21,1996-11-11
109598,Stamatina,Auyong,Senior Staff,9999-01-01,1988-07-05,1988-07-05
109620,Mani,Cannata,Senior Staff,9999-01-01,1995-06-21,1989-06-21
109703,Arco,Walston,Engineer,9999-01-01,1999-08-16,1991-09-10
109741,Hatem,Fadgyas,Senior Engineer,9999-01-01,1991-11-13,1991-11-13
109953,Godehard,Chorvat,Senior Staff,9999-01-01,1996-04-10,1988-04-10
200267,Chuanti,Luff,Senior Staff,9999-01-01,2000-09-20,1989-03-02
200312,Akemi,Fujisaki,Senior Engineer,9999-01-01,1998-06-25,1986-12-16
200363,Kirk,Quaggetto,Senior Engineer,9999-01-01,1995-06-30,1987-06-30
200735,Dinah,Denos,Senior Staff,9999-01-01,2001-09-21,1992-09-21
200789,Susumu,Camurati,Senior Staff,9999-01-01,1997-12-14,1991-12-15
201229,Alejandra,Khasidashvili,Staff,9999-01-01,1994-07-30,1988-07-07
201708,Anneli,Perl,Senior Staff,9999-01-01,2000-09-08,1992-09-08
201709,Fan,Kakkad,Senior Staff,9999-01-01,1993-02-24,1988-02-25
201739,Genta,Terekhov,Assistant Engineer,9999-01-01,1998-07-21,1994-02-27
201801,Waiman,Genin,Senior Engineer,9999-01-01,1995-10-30,1988-10-30
201915,Sudharsan,DeMori,Senior Engineer,9999-01-01,1997-03-30,1991-05-03
202291,Ortrun,Schmiedel,Engineer,9999-01-01,1997-07-18,1991-12-23
202403,Gully,Perko,Engineer,9999-01-01,1999-07-07,1992-03-31
202414,Zvonko,Murthy,Senior Staff,9999-01-01,1992-01-07,1988-05-06
202552,Morris,Saoudi,Senior Engineer,9999-01-01,1998-11-22,1991-11-22
202826,Kerhong,Matzke,Senior Engineer,9999-01-01,1993-11-14,1986-11-14
202882,Isaac,Koshino,Senior Engineer,9999-01-01,1995-09-28,1993-02-17
202950,Giordano,Pietrzykowski,Senior Staff,9999-01-01,1987-03-26,1986-01-30
203474,Hugh,Jonsson,Senior Staff,9999-01-01,1997-07-05,1991-07-06
203495,Zongyan,Gips,Technique Leader,9999-01-01,1997-05-31,1986-02-07
203599,Ewing,DiGiano,Technique Leader,9999-01-01,2000-02-01,1985-04-27
203720,Sasan,Thimonier,Senior Staff,9999-01-01,1996-08-21,1988-04-04
203946,Yefim,Marwedel,Senior Staff,9999-01-01,1999-03-30,1992-11-08
204117,Jessie,Nooteboom,Staff,9999-01-01,1999-08-13,1991-09-09
204133,Susuma,Bergere,Senior Staff,9999-01-01,1996-02-25,1993-08-09
204246,Arve,Worfolk,Senior Staff,9999-01-01,1990-04-01,1985-04-01
204425,Gretta,Huttel,Senior Engineer,9999-01-01,1990-10-08,1986-09-01
204470,Hein,Lichtner,Senior Staff,9999-01-01,2001-04-02,1995-04-03
204471,Franziska,Maginnis,Senior Engineer,9999-01-01,1992-02-17,1986-02-17
204764,Susanne,Mandelberg,Senior Engineer,9999-01-01,1996-11-01,1990-11-02
205018,Yahiko,Awdeh,Engineer,9999-01-01,1998-08-05,1997-03-02
205085,Moni,Kornyak,Technique Leader,9999-01-01,1991-09-26,1987-07-23
205174,Leszek,Spinelli,Staff,9999-01-01,1998-12-10,1986-12-19
205500,Mary,Setiz,Senior Engineer,9999-01-01,1989-01-13,1989-01-13
205627,Stabislas,Broder,Senior Engineer,9999-01-01,2001-07-16,1990-10-20
205660,Kien,Barreiro,Staff,9999-01-01,1997-08-25,1997-08-25
205699,Youjian,Yetto,Senior Staff,9999-01-01,2000-12-06,1994-12-07
205789,Limsoon,Skafidas,Senior Staff,9999-01-01,1999-08-10,1993-06-30
205863,Aiichiro,Kusalik,Senior Engineer,9999-01-01,1996-10-03,1990-10-04
206748,Yucai,Fabrizio,Staff,9999-01-01,1999-10-06,1986-11-15
206836,Guadalupe,Pfau,Senior Staff,9999-01-01,2001-03-22,1987-02-12
206966,Tzu,Sichman,Senior Engineer,9999-01-01,1992-11-16,1987-01-07
207021,Jacqueline,Akaboshi,Engineer,9999-01-01,1997-12-06,1986-07-27
207068,Zhiguo,Ariola,Senior Staff,9999-01-01,1994-09-07,1993-06-26
207204,Kellie,Schrooten,Engineer,9999-01-01,1999-01-17,1991-01-17
207401,Shuji,Barbanera,Senior Staff,9999-01-01,1993-08-09,1987-08-10
207551,Baziley,Falck,Assistant Engineer,9999-01-01,1995-02-18,1993-06-01
207779,Chinya,Kamble,Senior Staff,9999-01-01,1992-05-31,1990-10-29
207980,Remko,Vieth,Senior Staff,9999-01-01,1999-11-22,1989-12-01
208147,Manu,Rothenberg,Senior Engineer,9999-01-01,1995-12-07,1988-12-06
208330,Shen,Flanders,Senior Staff,9999-01-01,1997-07-03,1986-09-12
208639,Larisa,Lukaszewicz,Senior Staff,9999-01-01,1994-10-10,1989-10-10
208653,Phillip,Schade,Senior Engineer,9999-01-01,1998-03-03,1989-03-03
208784,Pranjal,Juneja,Senior Engineer,9999-01-01,1985-03-21,1985-03-21
209101,Xinyu,Edelhoff,Senior Engineer,9999-01-01,1997-10-26,1994-09-13
209443,Krassimir,Garnier,Senior Staff,9999-01-01,1998-01-26,1988-06-23
209565,Dante,Covnot,Senior Staff,9999-01-01,1998-05-28,1989-05-28
209712,Nimmagadda,Baak,Engineer,9999-01-01,1995-10-30,1986-01-14
210017,Shalesh,Lovengreen,Senior Staff,9999-01-01,1996-09-28,1990-09-29
210292,Lihong,Zeilberger,Staff,9999-01-01,1996-04-28,1994-09-15
210449,Gino,Lagarias,Engineer,9999-01-01,1997-06-22,1997-04-20
210752,Saniya,Stenning,Senior Staff,9999-01-01,1991-12-10,1986-12-10
210786,Werner,Ranze,Staff,9999-01-01,1998-06-05,1994-07-25
211858,Domenico,Ratnaker,Senior Engineer,9999-01-01,1993-03-24,1985-03-24
211879,Gao,Ranze,Senior Engineer,9999-01-01,1999-11-24,1994-11-24
211967,Anwar,Bain,Senior Engineer,9999-01-01,1998-01-22,1989-01-22
212093,Leni,Henders,Senior Staff,9999-01-01,1999-11-19,1991-09-07
212154,Sailaja,Holburn,Senior Staff,9999-01-01,1997-03-03,1987-07-11
212361,Claudi,Stanfel,Senior Engineer,9999-01-01,2001-01-06,1992-01-11
213016,Yongmao,Fontan,Senior Engineer,9999-01-01,1998-07-26,1993-07-26
213140,Tru,Danecki,Staff,9999-01-01,1997-03-31,1997-03-31
213384,Pranas,Narwekar,Senior Engineer,9999-01-01,1993-09-26,1985-09-26
213447,Armond,Perly,Senior Engineer,9999-01-01,1996-09-14,1989-09-14
214215,Xiaoqiang,Cardazo,Senior Staff,9999-01-01,1993-05-28,1987-05-19
214391,Rayond,Klassen,Senior Staff,9999-01-01,1999-09-11,1993-09-11
214427,Peer,Molberg,Engineer,9999-01-01,1996-11-17,1986-06-15
214539,Ingmar,Kohling,Engineer,9999-01-01,1995-04-25,1990-11-26
214634,Shirish,Vickson,Senior Engineer,9999-01-01,1997-10-24,1989-10-24
214789,Arfst,Chepyzhov,Senior Engineer,9999-01-01,1997-02-06,1987-06-24
214866,Gopalakrishnan,Angel,Senior Engineer,9999-01-01,2002-07-05,1985-09-19
214995,Dinkar,Hoppenstand,Engineer,9999-01-01,1994-05-04,1986-11-18
215419,Flemming,Kroha,Staff,9999-01-01,1995-01-23,1995-01-23
215629,Munehiro,Manders,Senior Staff,9999-01-01,1995-05-18,1987-05-18
215746,Sven,Speer,Staff,9999-01-01,1999-07-08,1992-07-15
215843,Pramod,Loncour,Senior Staff,9999-01-01,1993-03-30,1987-03-31
216054,Sahrah,Angiulli,Senior Staff,9999-01-01,1991-07-31,1985-12-28
216342,Aiichiro,Cromarty,Senior Engineer,9999-01-01,2000-06-09,1990-08-18
216375,Byong,Gustavson,Senior Engineer,9999-01-01,1985-03-12,1985-03-12
216502,Xiaocheng,Suermann,Engineer,9999-01-01,1997-12-15,1987-08-08
216573,Ashish,Vidya,Senior Engineer,9999-01-01,1995-06-16,1989-06-16
216921,Lena,Lenart,Senior Staff,9999-01-01,1995-12-25,1990-12-25
217026,Otmar,Engberts,Senior Staff,9999-01-01,1998-08-16,1993-08-16
217080,Masami,Puoti,Senior Engineer,9999-01-01,2000-01-21,1986-06-14
217272,Yuchang,Eldridge,Senior Staff,9999-01-01,1991-08-01,1986-08-01
217286,Yannik,Spelt,Technique Leader,9999-01-01,1992-09-22,1992-09-22
217320,Abdelwaheb,Denis,Engineer,9999-01-01,1993-09-10,1988-06-17
217363,Horward,Marzano,Staff,9999-01-01,1996-04-11,1985-07-11
217387,Jianhao,Molenaar,Senior Engineer,9999-01-01,1994-10-22,1987-10-22
217551,Panayotis,Lukaszewicz,Senior Engineer,9999-01-01,1995-06-06,1986-08-25
217800,Shay,Servieres,Senior Staff,9999-01-01,1998-08-06,1987-04-11
218022,Mokhtar,Poupard,Technique Leader,9999-01-01,1992-02-02,1987-06-18
218100,Jiong,Garnham,Senior Staff,9999-01-01,1999-01-02,1990-01-02
218831,Unal,DuBourdieux,Engineer,9999-01-01,1996-03-13,1996-03-13
219035,Kristine,Bierman,Technique Leader,9999-01-01,1988-05-13,1988-05-13
219047,Aemilian,Kusalik,Senior Engineer,9999-01-01,1995-05-27,1987-05-27
219052,Marsal,Acton,Staff,9999-01-01,1995-08-02,1995-08-02
219417,Subhrajyoti,Denna,Staff,9999-01-01,1996-07-25,1986-12-02
219497,Moie,Zastre,Technique Leader,9999-01-01,1991-10-11,1991-10-11
219967,Susanna,Reeken,Senior Staff,9999-01-01,1998-03-16,1994-08-15
220029,Demos,Asser,Senior Engineer,9999-01-01,1985-11-04,1985-11-04
220131,Reinhard,Slaats,Senior Engineer,9999-01-01,1999-06-08,1991-12-01
220418,Poorav,Laventhal,Staff,9999-01-01,1997-08-16,1994-11-14
220528,Sibyl,Rabehasaina,Senior Staff,9999-01-01,1998-02-23,1995-04-07
220582,Poornachandra,Zielinski,Senior Staff,9999-01-01,2001-02-12,1986-12-20
220611,Yuping,Babb,Senior Staff,9999-01-01,2002-01-31,1995-01-31
220625,Shigenori,Deville,Technique Leader,9999-01-01,1992-12-24,1992-12-24
220699,Nahid,Gyimothy,Staff,9999-01-01,1995-08-18,1995-08-18
220799,Perla,Orlowska,Senior Engineer,9999-01-01,1990-12-03,1987-05-13
221126,Tesuya,dAstous,Senior Engineer,9999-01-01,1995-11-30,1988-11-29
221367,Saddek,Farris,Senior Staff,9999-01-01,1990-11-06,1990-10-11
221369,Abdulah,Pocchiola,Engineer,9999-01-01,1996-08-28,1987-04-10
221435,Djenana,Marrevee,Senior Engineer,9999-01-01,2000-02-06,1987-06-23
221973,Sangeeta,Kalefeld,Senior Staff,9999-01-01,1996-06-05,1990-06-06
222206,Stein,Uludag,Senior Staff,9999-01-01,1995-01-30,1988-01-30
222311,Miyeon,Billingsley,Senior Engineer,9999-01-01,1992-12-05,1985-02-02
222319,Matt,Chvatal,Senior Engineer,9999-01-01,1994-11-09,1989-09-09
222354,Valdiodio,Schlumberger,Engineer,9999-01-01,2001-08-07,1993-08-07
222616,Badri,Schapire,Assistant Engineer,9999-01-01,1998-01-19,1995-12-08
222770,Kazuhiko,Kushner,Senior Engineer,9999-01-01,1995-08-01,1992-01-28
222878,Annemarie,Zallocco,Senior Engineer,9999-01-01,1996-05-27,1990-05-28
222926,Limsoon,Erol,Senior Engineer,9999-01-01,1997-12-31,1997-09-24
222952,Gopalakrishnan,Suermann,Senior Engineer,9999-01-01,1998-04-30,1986-02-06
222998,Leaf,Awdeh,Senior Staff,9999-01-01,1991-02-20,1985-02-20
223593,Hidefumi,Moehrke,Staff,9999-01-01,1998-03-04,1998-03-04
223595,Chiranjit,Dredge,Technique Leader,9999-01-01,1999-09-05,1994-11-10
224135,Annemarie,Bressoud,Engineer,9999-01-01,1998-06-23,1998-06-23
224335,Perry,Chachaty,Senior Engineer,9999-01-01,1992-07-22,1985-07-22
224390,True,Shobatake,Senior Staff,9999-01-01,1996-05-17,1996-05-17
224934,George,Miake,Senior Staff,9999-01-01,1996-01-02,1988-01-02
225438,Remmert,Quaggetto,Senior Staff,9999-01-01,1997-04-28,1992-04-28
225601,Masasuke,Genin,Engineer,9999-01-01,1999-06-25,1990-12-23
225788,Ipke,Kieras,Engineer,9999-01-01,1995-12-18,1985-09-28
225867,Ramalingam,Remmele,Senior Engineer,9999-01-01,1999-09-03,1998-03-30
225964,Mooi,Cooman,Senior Engineer,9999-01-01,1998-06-07,1989-06-07
226216,Giordano,Gini,Technique Leader,9999-01-01,1993-08-14,1992-08-18
226227,Herbert,Erva,Senior Engineer,9999-01-01,1995-09-06,1986-09-06
227354,Gio,Murtha,Senior Engineer,9999-01-01,1994-11-11,1986-11-11
227476,Macha,Schnabel,Senior Engineer,9999-01-01,1996-05-11,1988-05-11
227681,Mikhail,Rousseau,Staff,9999-01-01,1998-11-30,1991-02-25
227899,Garnik,Luce,Staff,9999-01-01,1998-09-15,1998-09-15
227901,Francesca,Azuma,Senior Staff,9999-01-01,2001-06-08,1991-03-03
228098,IEEE,Kroll,Engineer,9999-01-01,1997-05-10,1993-10-27
228248,Yuriy,Plump,Senior Staff,9999-01-01,1995-09-09,1988-09-08
228554,Bilhanan,Brendel,Senior Staff,9999-01-01,1990-12-23,1990-12-23
228766,Nahla,Smailagic,Senior Engineer,9999-01-01,1996-11-21,1991-11-22
229098,Berry,Yurek,Senior Staff,9999-01-01,1995-08-16,1988-08-02
229220,Fabrizio,Lichtman,Senior Engineer,9999-01-01,1992-02-09,1987-02-09
229248,Harjit,Terekhov,Staff,9999-01-01,1995-10-19,1991-06-22
229386,Pohua,Tasistro,Technique Leader,9999-01-01,1989-06-02,1989-06-02
229391,Paloma,Henseler,Senior Engineer,9999-01-01,1997-06-10,1991-06-11
229404,Gilbert,Kilgour,Staff,9999-01-01,1996-04-05,1992-01-28
229547,Moni,Schach,Senior Staff,9999-01-01,1991-07-04,1986-07-04
229727,Ewing,Millington,Engineer,9999-01-01,1999-09-28,1994-07-17
229981,Jamaludin,Fordan,Senior Engineer,9999-01-01,2001-02-05,1985-10-17
230002,Tadahiro,Backhouse,Senior Engineer,9999-01-01,1999-10-02,1991-10-02
230126,Bezalel,Radivojevic,Senior Staff,9999-01-01,1995-07-03,1988-07-02
230287,Renny,Alameldin,Assistant Engineer,9999-01-01,1997-09-28,1994-04-28
230354,Yinghua,Lorho,Senior Staff,9999-01-01,2000-08-08,1991-08-09
230498,Kolar,Puppo,Senior Engineer,9999-01-01,1998-04-25,1990-04-25
230579,Shahar,Negoita,Senior Staff,9999-01-01,2000-03-18,1990-08-26
230689,Dietrich,Crabtree,Senior Staff,9999-01-01,1986-05-24,1986-05-24
230865,Takushi,Brattka,Staff,9999-01-01,1999-03-09,1988-03-08
231069,Trygve,Siksek,Staff,9999-01-01,1995-11-09,1989-01-05
231459,Nectarios,Pramanik,Assistant Engineer,9999-01-01,1999-11-18,1989-10-12
